"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently.Using","Employment"
"1","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;MySQL;Redis","Digital Ocean;Microsoft Azure;Netlify","ASP.NET CORE;Node.js;Vue.js","Not Stated","ChatGPT","Writing code;Testing code","Employed, full-time"
"2","Durban Campus","Computer Science","I am a developer by profession","Developer; front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL","Netlify;Vercel","Express;Next.js;React","Retail and Consumer Services","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time"
"3","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","SQLite","Amazon Web Services (AWS)","None","Not Stated","ChatGPT","None","Employed, full-time"
"4","Durban Campus","IT","I am a developer by profession","Developer; back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Java;JavaScript;Lua;Python;SQL;TypeScript","Cassandra;H2;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;Hetzner","AngularJS;Node.js;Spring Boot","Other","ChatGPT","Writing code;Documenting code;Debugging and getting help;Committing and reviewing code","Employed, full-time"
"5","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);OpenShift;VMware","Django;FastAPI;React","Not Stated","ChatGPT","None","Employed, full-time"
"6","Durban Campus","Computer Science","I am a developer by profession","Developer; front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript","None","None","Next.js;Node.js;React","Not Stated","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","Debugging and getting help;Testing code","Employed, full-time"
"7","Durban Campus","Data Science","I am a developer by profession","Developer; front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;TypeScript","None","None","React","Information Services; IT; Software Development; Technology","ChatGPT","None","Employed, full-time"
"8","Durban Campus","Data Science","I am learning to code","N/A","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","MongoDB;MySQL","Firebase;Google Cloud;Microsoft Azure;Netlify;Vercel;VMware","Angular;AngularJS;Blazor;Express;Next.js;Node.js;Remix;Svelte;Vue.js;WordPress","Not Stated","ChatGPT","None","Student, full-time"
"9","Durban Campus","Computer Science","I am learning to code","N/A","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C++;HTML/CSS;JavaScript;PHP;Python;SQL","MariaDB","None","Flask","Not Stated","ChatGPT;WolframAlpha","None","Student, full-time"
"10","Durban Campus","IT","I am a developer by profession","Developer; embedded applications ;devices","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;C++;Python","MongoDB;Redis;SQLite","Amazon Web Services (AWS)","Flask","Manufacturing; Transportation; Supply Chain","None","None","Employed, full-time"
